zeit,depot,wert,rendite_pct,cash_anteil,orders_heute,orders_gesamt,btc_signal,btc_skala,eth_signal,eth_skala,btc_abw_pct,eth_abw_pct
2026-08-25T00:02:37.566319+00:00,live,9990.01,-0.1,0.0,1,1,1.0,1.0,1.0,1.0,-0.0406,-0.0419
2026-08-25T00:02:37.566319+00:00,schatten,9990.01,-0.1,0.0,2,2,1.0,1.0,1.0,1.0,-0.0406,-0.0419
2026-08-26T00:02:34.271154+00:00,live,9936.03,-0.64,0.0,0,1,1.0,1.0,1.0,1.0,-0.0065,-0.016
2026-08-26T00:02:34.271154+00:00,schatten,9884.52,-1.15,0.0,0,2,1.0,1.0,1.0,1.0,-0.0065,-0.016
2026-08-27T00:02:19.479429+00:00,live,9992.29,-0.08,0.0,0,1,1.0,1.0,1.0,1.0,-0.057,-0.0451
2026-08-27T00:02:19.479429+00:00,schatten,10040.18,0.4,0.0,0,2,1.0,1.0,1.0,1.0,-0.057,-0.0451
2026-08-28T00:02:33.173140+00:00,live,10144.87,1.45,0.0,0,1,1.0,1.0,1.0,1.0,-0.0809,-0.082
2026-08-28T00:02:33.173140+00:00,schatten,10123.04,1.23,0.0,0,2,1.0,1.0,1.0,1.0,-0.0809,-0.082
2026-08-29T00:02:37.582674+00:00,live,9847.57,-1.52,0.0,0,1,1.0,1.0,1.0,0.9937,-0.0142,0.0614
2026-08-29T00:02:37.582674+00:00,schatten,9844.37,-1.56,0.0,0,2,1.0,1.0,1.0,0.9937,-0.0142,0.0614
2026-08-30T00:02:20.525157+00:00,live,9895.33,-1.05,0.0,0,1,1.0,1.0,1.0,1.0,-0.0226,-0.037
2026-08-30T00:02:20.525157+00:00,schatten,9893.33,-1.07,0.0,0,2,1.0,1.0,1.0,1.0,-0.0226,-0.037
2026-08-31T00:02:21.200020+00:00,live,9824.94,-1.75,0.0,0,1,1.0,1.0,1.0,1.0,-0.0335,-0.0207
2026-08-31T00:02:21.200020+00:00,schatten,9776.9,-2.23,0.0,0,2,1.0,1.0,1.0,1.0,-0.0335,-0.0207
2026-09-01T00:02:32.281190+00:00,live,9942.1,-0.58,0.0,0,1,1.0,1.0,1.0,1.0,0.0009,-0.0904
2026-09-01T00:02:32.281190+00:00,schatten,9934.16,-0.66,0.0,0,2,1.0,1.0,1.0,1.0,0.0009,-0.0904
